"wvl","ref_rad","signal","noise_rad","SNR"
2039.99963,0.534,215934.021610684,0.000565850511038809,851.228076213515
2044.99988,0.511,208060.607136976,0.000555762656427485,833.028174149026
2050.00049,0.386,157909.978904084,0.000495540987298076,707.283878217677
2055.00049,0.287,118227.722708939,0.00044238014646845,591.672122018855
2059.99976,0.357,147408.580605893,0.00047996461761331,678.350003421109
2065.00024,0.336,139077.22410873,0.000468116081199815,654.606864208965
2069.99951,0.36,149368.182256748,0.000480119050660304,683.830394874905
2075,0.442,183821.960700093,0.000520431437602913,774.557359287673
2080.00049,0.529,220040.318833672,0.000559379835730348,860.57803526557
2085,0.535,223070.217032379,0.000561263548297068,867.417813747488
2089.99927,0.563,235304.895116375,0.000572728628074503,894.542327528551
2095,0.573,240056.430785776,0.000576247335557585,904.871862870232
2099.99927,0.554,233163.048460768,0.000567790540093273,889.848989292778
2104.99976,0.596,251432.923522585,0.000584988057034467,929.16768720968
2109.99951,0.591,249916.092307501,0.000582088151720942,925.962843267762
2114.99976,0.583,247659.837466852,0.000578458350700074,921.175990262927
2119.99951,0.564,240681.927801646,0.000570084639314215,906.223135703979
2125.00024,0.571,243709.99557015,0.000571788186358827,912.740088814085
2129.99976,0.592,253265.561175362,0.000579928564778212,933.025260114465
2135.00049,0.597,256003.68645684,0.000581252656660864,938.762160907194
2139.99927,0.597,256603.056633148,0.000580479083055578,940.013199317564
2145,0.591,254618.141921167,0.000577193493276032,935.862940751607
2149.99951,0.536,231465.753983756,0.0005528688532394,886.112496896014
2155,0.527,228608.404635055,0.000548689752777313,879.790441787087
2160,0.524,227834.602453269,0.000546634497108696,878.071183832653
2164.99927,0.493,214855.079500317,0.000532061065301408,848.752200547092
2169.99951,0.518,226762.807235907,0.000543031220444426,875.684271123165
2175,0.51,223288.588854687,0.000538260980428036,867.9061217265
2180.00024,0.51,223801.774844687,0.000537546840269717,869.059058752164
2184.99951,0.465,204080.80454337,0.000515986420265295,823.684644494095
2189.99976,0.503,221743.149447099,0.000533011082464929,864.424712486755
2195,0.482,212042.989190526,0.000521900925054669,842.274805230425
2199.99951,0.438,193130.110021283,0.000500904788828554,797.468918063634
2204.99927,0.461,202837.576601101,0.000510009631976995,820.745811410247
2210.00024,0.504,221276.116164162,0.000527718306218774,863.369524731093
2214.99951,0.494,216415.912621085,0.000521632345567364,852.324817327847
2219.99951,0.499,218612.444118059,0.00052267037772178,857.332110071344
2224.99927,0.491,215112.91295913,0.00051797379067399,849.340548292131
2229.99976,0.493,216957.299216523,0.00051866738804741,853.560418245407
2234.99902,0.48,212182.602813572,0.000512701830382933,842.594635399181
2239.99976,0.476,211354.224757074,0.000510720811489561,840.678399323025
2245,0.459,203809.95570587,0.000501918836563695,823.041435998341
2249.99976,0.459,204263.832706492,0.000501266896341018,824.111871371141
2254.99951,0.442,196699.670452709,0.000492393385498996,806.095488528469
2259.99927,0.432,192247.837708744,0.000486688233643402,795.318438759727
2264.99976,0.426,189574.005812489,0.000482826429162368,788.78043514873
2269.99927,0.417,185979.642974143,0.000477998855767758,779.914000842564
2274.99902,0.415,185080.784040256,0.00047600447076328,777.682113124716
2279.99902,0.419,187694.446728526,0.000477694034137158,784.154310046182
2284.99976,0.407,182720.469161726,0.000471444513448848,771.793900703607
2289.99927,0.387,174513.77031211,0.000461719998244838,751.000364537225
2294.99902,0.356,160889.689199512,0.000445937833982591,715.292526653956
2299.99927,0.362,163225.209180353,0.000447530385792137,721.524664378831
2304.99976,0.374,168621.868193908,0.000452411467916099,735.74623878838
